property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,paras dews,sector 106,1.05,7581.0,2,2,2,5  ,new Property,1895.9498700623699,1600.0,1385.0,0,0,0,0,0,2
flat,godrej air,sector 85,1.83,10005.0,3,3,3,18  ,under construction,1895.9498700623699,1600.0,1829.0,0,0,0,0,0,2
flat,dlf the primus,sector 82a,2.25,10714.0,3,3,3,29  ,relativelt new,1895.9498700623699,1600.0,2100.0,0,1,0,0,0,1
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,3,3,3,3  ,relativelt new,1895.9498700623699,1600.0,1650.0,1,1,0,0,0,0
flat,dlf regency park,dlf phase 4,1.6,14545.0,2,2,2,3  ,relativelt new,1895.9498700623699,1600.0,1100.0,0,0,0,0,0,2
flat,supertech araville,sector 79,0.83,5424.0,2,2,3,5  ,new Property,1895.9498700623699,1600.0,1530.0,1,0,0,0,0,1
flat,signature global park,sohna,0.83,7410.0,3,2,2,1  ,new Property,1895.9498700623699,1600.0,1120.0,0,0,0,0,0,2
flat,maxworth city residences,sector 10a,0.8,6400.0,2,3,2,9  ,new Property,1895.9498700623699,1600.0,1250.0,0,0,0,0,0,2
flat,deepak minda,sector 1a imt manesar,1.25,4715.0,4,4,3,6  ,moderately old,1895.9498700623699,1600.0,2651.0,0,0,0,0,0,0
flat,shree shyam residency,block a surya vihar,0.23,5000.0,1,1,1,2  ,relativelt new,1895.9498700623699,1600.0,460.0,0,0,0,0,0,2
flat,pivotal devaan,sector 84,0.3,6666.0,1,1,1,14  ,new Property,1895.9498700623699,1600.0,450.0,0,0,0,0,0,0
flat,unitech the residences,sector 33,1.55,9872.0,3,4,1,1  ,relativelt new,1570.0,1600.0,1254.0,0,1,0,0,0,2
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8  ,relativelt new,1198.0,1600.0,1254.0,0,0,0,0,1,2
flat,"gokuldham society, bahadurgarh",sector-7 hous,0.5,5555.0,2,2,2,2  ,moderately old,900.0,1600.0,750.0,0,0,1,0,0,2
flat,silverglades the melia,sohna,1.01,7000.0,2,2,3,12  ,under construction,1450.0,1600.0,950.0,1,0,0,0,0,2
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,4,5,3,4  ,moderately old,1897.0,1600.0,1254.0,0,1,0,0,0,2
flat,umang winter hills,sector 77,0.99,7857.0,2,2,2,1  ,relativelt new,1260.0,1600.0,1000.0,0,0,0,0,0,2
flat,ramprastha skyz,sector 37d,1.1,6376.0,3,3,3,7  ,under construction,1725.0,1600.0,1254.0,0,0,0,0,0,2
flat,4s aradhya homes,sector 67a,1.9,8863.0,4,4,3,3  ,new Property,2200.0,1600.0,1254.0,0,0,0,0,0,0
flat,ild greens,sector 37c,1.0,4320.0,3,3,3,5  ,under construction,1875.0,1600.0,1254.0,0,0,0,0,0,2
flat,bptp freedom park life,sector 57,2.5,11111.0,3,3,3,9  ,moderately old,2250.0,1600.0,1254.0,0,0,0,0,0,2
flat,godrej habitat,sector 3,1.1,10410.0,2,2,2,14  ,under construction,1056.58,1600.0,1254.0,0,0,0,0,0,2
flat,ramsons kshitij,sector 95,0.29,5178.0,2,2,2,14  ,relativelt new,560.0,1600.0,1254.0,0,0,0,0,0,2
flat,sidhartha ncr one,sector 95,0.55,5556.0,2,2,3,15  ,undefined,1895.9498700623699,990.0,950.0,0,0,0,0,0,2
flat,raheja sampada,sector 92,0.65,4744.0,3,2,3,6  ,relativelt new,1370.0,1600.0,1254.0,0,0,0,0,0,2
flat,signature the serenas,sohna,0.5,9406.0,2,2,2,6  ,new Property,1895.9498700623699,1600.0,531.57,0,0,0,0,0,2
flat,pareena laxmi apartments,sector 99a,0.32,5521.0,2,2,1,2  ,new Property,575.0,1600.0,570.17,0,0,0,0,0,2
flat,satya the hermitage,sector 103,0.93,6404.0,2,3,3,3  ,relativelt new,1895.9498700623699,1600.0,1452.0,0,1,0,0,0,0
flat,smart world gems,sector 89,1.2,8432.0,3,3,2,2  ,new Property,1895.9498700623699,1600.0,1423.0,0,0,0,0,0,2
flat,gls arawali homes,sohna,0.3,4687.0,2,2,2,4  ,relativelt new,1895.9498700623699,1600.0,640.0,0,0,0,0,0,2
flat,signature global park,sohna,0.56,6812.0,2,2,3,3  ,new Property,1895.9498700623699,1600.0,822.0,0,0,0,0,0,2
flat,bestech park view city,sector 49,2.7,12505.0,3,4,3,6  ,moderately old,2159.0,1600.0,1254.0,0,0,0,0,0,2
flat,shree vardhman flora,sector 90,1.0,5128.0,3,4,3,8  ,new Property,1950.0,1600.0,1254.0,0,1,0,0,0,2
flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,3,2,2,2  ,old property,1895.9498700623699,1300.0,1090.0,0,0,0,0,0,1
flat,m3m soulitude,sector 89,1.25,8784.0,3,3,No,4  ,undefined,1895.9498700623699,1423.0,1190.0,0,0,0,0,0,2
flat,emaar mgf palm terraces,sector 66,4.5,10599.0,5,5,3,11  ,new Property,3670.0,1600.0,1254.0,0,1,0,0,0,2
flat,anamika enclave,sector 15 part 1,0.64,6500.0,2,2,1,1  ,new Property,1000.0,1600.0,1254.0,0,0,0,0,0,2
flat,hcbs sports ville,sohna,0.28,3768.0,2,2,1,11  ,relativelt new,1895.9498700623699,743.0,643.0,0,0,0,0,0,2
flat,puri the aravallis,sector 61,3.87,17200.0,3,4,3,21  ,under construction,2250.0,1600.0,1249.65,0,1,0,0,0,2
flat,brisk lumbini terrace homes,sector 109,1.38,6338.0,3,3,1,4  ,moderately old,1895.9498700623699,1600.0,2177.0,0,0,0,0,0,2
flat,huda ashok vihar phase,laxman vihar,0.43,6615.0,2,2,1,2  ,relativelt new,1895.9498700623699,1600.0,650.0,0,0,0,0,0,2
flat,my home,new palam vihar,0.28,3166.0,2,1,1,2  ,relativelt new,1895.9498700623699,1600.0,900.0,0,0,0,0,1,2
flat,signature global city,sector 37d,1.1,9838.0,2,2,2,4  ,undefined,1895.9498700623699,1600.0,1118.0,0,0,0,0,0,2
flat,m3m heights,sector 65,2.0,13957.0,2,2,2,32  ,undefined,1895.9498700623699,1433.0,1000.0,0,0,0,0,0,2
flat,signature global park,sohna,0.9,8035.0,3,2,2,2  ,under construction,1120.0,1600.0,1254.0,0,0,0,0,0,2
flat,signature global park,sohna,0.9,8036.0,3,2,No,2  ,under construction,1895.9498700623699,1120.0,1254.0,0,0,0,0,0,2
flat,godrej nature plus,sector-33 sohna,1.75,8768.0,3,3,No,2  ,undefined,1895.9498700623699,1996.0,1254.0,0,0,0,0,0,2
flat,supertech hues,sector 68,0.93,8611.0,2,2,2,11  ,undefined,1895.9498700623699,1600.0,1080.0,0,0,0,0,0,2
flat,dlf new town heights,sector 90,1.8,6600.0,4,4,3,23  ,moderately old,2727.0,1600.0,1254.0,0,0,0,0,0,2
flat,central park flower valley aqua front towers,sector-33 sohna,2.1,11738.0,3,3,2,6  ,under construction,1789.0,1600.0,1254.0,0,0,0,0,0,2
flat,ambience creacions,sector 22,2.0,14492.0,2,2,2,9  ,relativelt new,1895.9498700623699,1600.0,1380.0,0,0,0,0,0,2
flat,signature global city 63a,sector 63a,2.0,12800.0,3,3,2,1  ,under construction,1895.9498700623699,1540.0,1254.0,0,0,0,0,0,2
flat,godrej oasis,sector 88a,1.29,7800.0,3,3,3,5  ,new Property,1629.0,1600.0,1628.0,1,0,0,0,1,2
flat,m3m skycity,sector 65,2.85,15590.0,3,3,3,43  ,under construction,1828.0,1600.0,1254.0,0,0,0,0,0,0
flat,supertech araville,sector 79,1.1,5641.0,3,3,3,1  ,relativelt new,1895.9498700623699,1600.0,1950.0,0,0,0,0,0,0
flat,smart world orchard,sector 61,1.65,13750.0,2,2,2,1  ,under construction,1895.9498700623699,1600.0,1200.0,1,0,0,0,0,2
flat,hcbs sports ville,sohna,0.24,7407.0,1,1,2,1  ,new Property,1895.9498700623699,1600.0,324.0,0,0,0,0,0,2
flat,emaar palm premier,sector 77,2.1,10500.0,3,4,3,11  ,new Property,2000.0,1600.0,1500.0,0,1,0,0,0,0
